match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1072305,Test,2017/18,2017/11/23,England tour of Australia and New Zealand,1,England,Australia,Australia,10 wickets,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1072306,Test,2017/18,2017/12/02,England tour of Australia and New Zealand,2,Australia,England,Australia,120 runs,Adelaide Oval,
1072307,Test,2017/18,2017/12/14,England tour of Australia and New Zealand,3,England,Australia,Australia,41 runs,W.A.C.A. Ground,Perth
1072308,Test,2017/18,2017/12/26,England tour of Australia and New Zealand,4,Australia,England,draw,,Melbourne Cricket Ground,
1072309,Test,2017/18,2018/01/04,England tour of Australia and New Zealand,5,England,Australia,Australia,123 runs,Sydney Cricket Ground,
1152846,Test,2019,2019/08/01,The Ashes,1,England,Australia,Australia,251 runs,Edgbaston,Birmingham
1152847,Test,2019,2019/08/14,The Ashes,2,England,Australia,draw,,Lord's,London
1152848,Test,2019,2019/08/22,The Ashes,3,England,Australia,England,1 wickets,Headingley,Leeds
1152849,Test,2019,2019/09/04,The Ashes,4,England,Australia,Australia,185 runs,Old Trafford,Manchester
1152850,Test,2019,2019/09/12,The Ashes,5,England,Australia,England,135 runs,Kennington Oval,London
1263462,Test,2021/22,2021/12/08,The Ashes,1,England,Australia,Australia,9 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1263463,Test,2021/22,2021/12/16,The Ashes,2,Australia,England,Australia,275 runs,Adelaide Oval,Adelaide
1263464,Test,2021/22,2021/12/26,The Ashes,3,England,Australia,Australia,14 runs,Melbourne Cricket Ground,Melbourne
1263465,Test,2021/22,2022/01/05,The Ashes,4,Australia,England,draw,,Sydney Cricket Ground,Sydney
1263466,Test,2021/22,2022/01/14,The Ashes,5,Australia,England,Australia,146 runs,"Bellerive Oval, Hobart",Hobart
1336043,Test,2023,2023/06/16,The Ashes,1,England,Australia,Australia,2 wickets,"Edgbaston, Birmingham",Birmingham
1336044,Test,2023,2023/06/28,The Ashes,2,Australia,England,Australia,43 runs,"Lord's, London",London
1336045,Test,2023,2023/07/06,The Ashes,3,Australia,England,England,3 wickets,"Headingley, Leeds",Leeds
1336046,Test,2023,2023/07/19,The Ashes,4,Australia,England,draw,,"Old Trafford, Manchester",Manchester
1336047,Test,2023,2023/07/27,The Ashes,5,England,Australia,England,49 runs,"Kennington Oval, London",London
1455611,Test,2025/26,2025/11/21,The Ashes,1,England,Australia,Australia,8 wickets,Perth Stadium,Perth
1455612,Test,2025/26,2025/12/04,The Ashes,2,England,Australia,Australia,8 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1455613,Test,2025/26,2025/12/17,The Ashes,3,Australia,England,Australia,82 runs,Adelaide Oval,Adelaide
1455614,Test,2025/26,2025/12/26,The Ashes,4,Australia,England,England,4 wickets,Melbourne Cricket Ground,Melbourne
1455615,Test,2025/26,2026/01/04,The Ashes,5,England,Australia,Australia,5 wickets,Sydney Cricket Ground,Sydney
213856,Test,2005,2005/07/21,Australia tour of England and Scotland,1,Australia,England,Australia,239 runs,"Lord's, London",London
215010,Test,2005,2005/08/04,Australia tour of England and Scotland,2,England,Australia,England,2 runs,"Edgbaston, Birmingham",Birmingham
216994,Test,2005,2005/08/25,Australia tour of England and Scotland,4,England,Australia,England,3 wickets,"Trent Bridge, Nottingham",Nottingham
218383,Test,2005,2005/09/08,Australia tour of England and Scotland,5,England,Australia,draw,,"Kennington Oval, London",London
249222,Test,2006/07,2006/11/23,England tour of Australia,1,Australia,England,Australia,277 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
