player,team,total_runs,balls_faced,matches,strike_rate
SPD Smith,Australia,16431,26684,273,61.58
DA Warner,Australia,15409,19518,266,78.95
MJ Clarke,Australia,15134,23700,305,63.86
RT Ponting,Australia,13712,20152,278,68.04
MEK Hussey,Australia,10855,17749,223,61.16
SR Watson,Australia,9041,12939,207,69.87
ML Hayden,Australia,8075,11778,143,68.56
UT Khawaja,Australia,7768,14650,125,53.02
TM Head,Australia,7540,9460,138,79.7
M Labuschagne,Australia,6551,11262,120,58.17
AC Gilchrist,Australia,6360,6644,156,95.73
BJ Haddin,Australia,6269,9250,172,67.77
AJ Finch,Australia,5466,6753,144,80.94
MR Marsh,Australia,5149,7017,139,73.38
A Symonds,Australia,4975,6097,128,81.6
SE Marsh,Australia,4887,8491,109,57.56
SM Katich,Australia,4666,8824,76,52.88
AT Carey,Australia,4578,6122,123,74.78
GJ Maxwell,Australia,4034,3625,139,111.28
DR Martyn,Australia,3681,5827,97,63.17
MS Wade,Australia,3405,5433,118,62.67
GJ Bailey,Australia,3194,3983,88,80.19
MA Starc,Australia,3057,4964,168,61.58
MG Johnson,Australia,2999,4547,155,65.96
JL Langer,Australia,2558,4333,30,59.04
C Green,Australia,2518,4412,63,57.07
TD Paine,Australia,2395,4612,68,51.93
PJ Hughes,Australia,2361,3989,50,59.19
AC Voges,Australia,2283,3628,46,62.93
CL White,Australia,2199,2914,79,75.46
PJ Cummins,Australia,2092,3979,125,52.58
CJL Rogers,Australia,2015,3988,25,50.53
NM Lyon,Australia,1728,3365,132,51.35
PSP Handscomb,Australia,1711,2892,40,59.16
B Lee,Australia,1699,2725,113,62.35
DJ Hussey,Australia,1672,1912,59,87.45
JA Burns,Australia,1588,2753,29,57.68
MP Stoinis,Australia,1489,1622,63,91.8
JR Hopes,Australia,1326,1436,61,92.34
PM Siddle,Australia,1195,2500,65,47.8
MJ North,Australia,1177,2453,23,47.98
DS Lehmann,Australia,1177,1770,28,66.5
JP Faulkner,Australia,1070,1061,52,100.85
EJM Cowan,Australia,1001,2428,18,41.23
PA Jaques,Australia,959,1738,15,55.18
JP Inglis,Australia,950,965,33,98.45
GB Hogg,Australia,808,1097,51,73.66
MG Bevan,Australia,755,1177,25,64.15
MT Renshaw,Australia,752,1639,17,45.88
BJ Hodge,Australia,734,1021,23,71.89
NM Hauritz,Australia,721,1172,42,61.52
JR Hazlewood,Australia,700,1455,92,48.11
SR Waugh,Australia,700,1134,8,61.73
CJ Ferguson,Australia,667,818,26,81.54
RJ Harris,Australia,651,1010,34,64.46
MS Harris,Australia,607,1327,14,45.74
