match_id,season,date,team1,team2,winner,margin,venue,city
1023581,2016/17,2016/12/20,Sydney Thunder,Sydney Sixers,Sydney Sixers,9 wickets,Sydney Showground Stadium,
1023583,2016/17,2016/12/21,Adelaide Strikers,Brisbane Heat,Brisbane Heat,10 runs,Adelaide Oval,
1023585,2016/17,2016/12/22,Melbourne Renegades,Sydney Thunder,Melbourne Renegades,49 runs,Docklands Stadium,Melbourne
1023587,2016/17,2016/12/23,Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,60 runs,Sydney Cricket Ground,
1023589,2016/17,2016/12/23,Perth Scorchers,Adelaide Strikers,Perth Scorchers,48 runs,Western Australia Cricket Association Ground,Perth
1023591,2016/17,2016/12/26,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,7 wickets,Bellerive Oval,Hobart
1023593,2016/17,2016/12/27,Sydney Sixers,Perth Scorchers,Sydney Sixers,6 wickets,Sydney Cricket Ground,
1023595,2016/17,2016/12/28,Sydney Thunder,Brisbane Heat,Brisbane Heat,3 wickets,Sydney Showground Stadium,
1023597,2016/17,2016/12/29,Melbourne Renegades,Perth Scorchers,Perth Scorchers,4 wickets,Docklands Stadium,Melbourne
1023599,2016/17,2016/12/30,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,7 wickets,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1023601,2016/17,2016/12/31,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,48 runs,Adelaide Oval,
1023603,2016/17,2017/01/01,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,7 runs,Melbourne Cricket Ground,
1023605,2016/17,2017/01/01,Perth Scorchers,Sydney Thunder,Perth Scorchers,50 runs,Western Australia Cricket Association Ground,Perth
1023607,2016/17,2017/01/02,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,8 wickets,Bellerive Oval,Hobart
1023609,2016/17,2017/01/03,Brisbane Heat,Sydney Sixers,Sydney Sixers,3 wickets,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1023611,2016/17,2017/01/04,Sydney Thunder,Melbourne Stars,Sydney Thunder,6 wickets,Sydney Showground Stadium,
1023613,2016/17,2017/01/05,Perth Scorchers,Brisbane Heat,Brisbane Heat,9 wickets,Western Australia Cricket Association Ground,Perth
1023615,2016/17,2017/01/06,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,5 wickets,Adelaide Oval,
1023617,2016/17,2017/01/07,Melbourne Renegades,Melbourne Stars,Melbourne Stars,46 runs,Docklands Stadium,Melbourne
1023619,2016/17,2017/01/08,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,6 wickets,Bellerive Oval,Hobart
1023621,2016/17,2017/01/09,Sydney Sixers,Melbourne Renegades,Sydney Sixers,6 wickets,Sydney Cricket Ground,
1023623,2016/17,2017/01/10,Melbourne Stars,Adelaide Strikers,Melbourne Stars,2 wickets,Melbourne Cricket Ground,
1023625,2016/17,2017/01/11,Brisbane Heat,Perth Scorchers,Perth Scorchers,27 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
1023627,2016/17,2017/01/12,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,2 wickets,Docklands Stadium,Melbourne
1023629,2016/17,2017/01/14,Sydney Sixers,Sydney Thunder,Sydney Thunder,8 wickets,Sydney Cricket Ground,
1023631,2016/17,2017/01/14,Perth Scorchers,Melbourne Stars,Melbourne Stars,7 wickets,Western Australia Cricket Association Ground,Perth
