player,team,total_runs,balls_faced,matches,strike_rate
CA Lynn,Brisbane Heat,4088,2812,133,145.38
MC Henriques,Sydney Sixers,3356,2654,143,126.45
AJ Finch,Melbourne Renegades,3310,2616,104,126.53
MP Stoinis,Melbourne Stars,3218,2476,114,129.97
GJ Maxwell,Melbourne Stars,3196,2154,116,148.38
DJM Short,Adelaide Strikers,3138,2468,102,127.15
BR McDermott,Melbourne Renegades,3104,2313,110,134.2
MS Wade,Melbourne Renegades,2946,2147,111,137.21
JW Wells,Hobart Hurricanes,2935,2470,123,118.83
SE Marsh,Perth Scorchers,2802,2208,77,126.9
JR Philippe,Sydney Sixers,2745,2055,110,133.58
DP Hughes,Sydney Thunder,2494,2088,105,119.44
AJ Turner,Perth Scorchers,2485,1725,120,144.06
MW Short,Melbourne Renegades,2466,1803,91,136.77
JC Silk,Sydney Sixers,2429,1997,112,121.63
AD Hales,Hobart Hurricanes,2251,1558,76,144.48
AI Ross,Adelaide Strikers,2209,1754,100,125.94
MR Marsh,Perth Scorchers,2187,1666,80,131.27
J Weatherald,Adelaide Strikers,2176,1710,92,127.25
JM Vince,Sydney Sixers,2162,1691,77,127.85
NJ Maddinson,Sydney Sixers,2161,1777,109,121.61
UT Khawaja,Sydney Thunder,2127,1669,71,127.44
MT Renshaw,Brisbane Heat,2124,1619,89,131.19
DT Christian,Hobart Hurricanes,2065,1587,121,130.12
HWR Cartwright,Perth Scorchers,2037,1672,102,121.83
CT Bancroft,Perth Scorchers,2030,1719,80,118.09
SB Harper,Melbourne Stars,2004,1532,97,130.81
AT Carey,Adelaide Strikers,1986,1548,62,128.29
JJ Peirson,Brisbane Heat,1914,1607,111,119.1
JP Inglis,Perth Scorchers,1887,1395,77,135.27
CJ Ferguson,Melbourne Renegades,1882,1555,80,121.03
M Bryant,Brisbane Heat,1739,1276,81,136.29
M Klinger,Perth Scorchers,1737,1514,67,114.73
BJ Webster,Hobart Hurricanes,1726,1456,74,118.54
BCJ Cutting,Brisbane Heat,1709,1252,97,136.5
BR Dunk,Hobart Hurricanes,1692,1361,77,124.32
SW Billings,Sydney Thunder,1634,1222,65,133.72
GJ Bailey,Hobart Hurricanes,1574,1186,62,132.72
