player,team,first_season,last_season
J Weatherald,Adelaide Strikers,2016/17,2024/25
BR Dunk,Adelaide Strikers,2016/17,2016/17
TM Head,Adelaide Strikers,2016/17,2015/16
BJ Hodge,Adelaide Strikers,2016/17,2015/16
KA Pollard,Adelaide Strikers,2016/17,2014/15
JS Lehmann,Adelaide Strikers,2016/17,2015/16
CJ Jordan,Adelaide Strikers,2016/17,2016/17
B Laughlin,Adelaide Strikers,2016/17,2015/16
KW Richardson,Adelaide Strikers,2016/17,2015/16
LN O'Connor,Adelaide Strikers,2016/17,2020/21
MG Neser,Adelaide Strikers,2016/17,2015/16
B Stanlake,Adelaide Strikers,2016/17,2015/16
TD Andrews,Adelaide Strikers,2016/17,2016/17
JR Dean,Adelaide Strikers,2016/17,2015/16
TP Ludeman,Adelaide Strikers,2016/17,2015/16
KR Smith,Adelaide Strikers,2016/17,2014/15
IS Sodhi,Adelaide Strikers,2016/17,2016/17
WA Agar,Adelaide Strikers,2016/17,2023/24
AT Carey,Adelaide Strikers,2016/17,2025/26
CA Ingram,Adelaide Strikers,2017/18,2018/19
JW Wells,Adelaide Strikers,2017/18,2021/22
Rashid Khan,Adelaide Strikers,2017/18,2022/23
PM Siddle,Adelaide Strikers,2017/18,2022/23
HJ Nielsen,Adelaide Strikers,2017/18,2025/26
MW Short,Adelaide Strikers,2018/19,2025/26
C Valente,Adelaide Strikers,2018/19,2020/21
PD Salt,Adelaide Strikers,2019/20,2020/21
CL White,Adelaide Strikers,2019/20,2019/20
HNA Conway,Adelaide Strikers,2019/20,2022/23
MT Renshaw,Adelaide Strikers,2020/21,2021/22
RJ Gibson,Adelaide Strikers,2020/21,2022/23
DR Briggs,Adelaide Strikers,2020/21,2020/21
DJ Worrall,Adelaide Strikers,2020/21,2021/22
L Scott,Adelaide Strikers,2020/21,2025/26
DR Drew,Adelaide Strikers,2021/22,2021/22
GHS Garton,Adelaide Strikers,2021/22,2021/22
T Kelly,Adelaide Strikers,2021/22,2023/24
Fawad Ahmed,Adelaide Strikers,2021/22,2021/22
HJ Hunt,Adelaide Strikers,2021/22,2022/23
IA Cockbain,Adelaide Strikers,2021/22,2021/22
HTRY Thornton,Adelaide Strikers,2021/22,2025/26
CA Lynn,Adelaide Strikers,2022/23,2025/26
AJ Hose,Adelaide Strikers,2022/23,2023/24
C de Grandhomme,Adelaide Strikers,2022/23,2022/23
BAD Manenti,Adelaide Strikers,2022/23,2023/24
CJ Boyce,Adelaide Strikers,2022/23,2012/13
DJM Short,Adelaide Strikers,2023/24,2024/25
J Overton,Adelaide Strikers,2023/24,2025/26
JJ Bazley,Adelaide Strikers,2023/24,2024/25
DA Payne,Adelaide Strikers,2023/24,2023/24
B Doggett,Adelaide Strikers,2023/24,2024/25
L Pope,Adelaide Strikers,2023/24,2025/26
AI Ross,Adelaide Strikers,2024/25,2015/16
FA Allen,Adelaide Strikers,2024/25,2024/25
OJ Pope,Adelaide Strikers,2024/25,2024/25
JS Buckingham,Adelaide Strikers,2024/25,2024/25
L Haskett,Adelaide Strikers,2024/25,2024/25
HJ Manenti,Adelaide Strikers,2024/25,2025/26
JJS Sangha,Adelaide Strikers,2025/26,2025/26
L Wood,Adelaide Strikers,2025/26,2025/26
Hasan Ali,Adelaide Strikers,2025/26,2025/26
J Wadia,Adelaide Strikers,2025/26,2025/26
MW Harvey,Adelaide Strikers,2025/26,2025/26
T Shamsi,Adelaide Strikers,2025/26,2025/26
DJ Harris,Adelaide Strikers,2011/12,2011/12
M Klinger,Adelaide Strikers,2011/12,2013/14
CJ Ferguson,Adelaide Strikers,2011/12,2013/14
AC Blizzard,Adelaide Strikers,2011/12,2011/12
AJ Crosthwaite,Adelaide Strikers,2011/12,2011/12
CJ Borgas,Adelaide Strikers,2011/12,2011/12
J Botha,Adelaide Strikers,2011/12,2014/15
AW O'Brien,Adelaide Strikers,2011/12,2011/12
AC Thomas,Adelaide Strikers,2011/12,2011/12
NM Lyon,Adelaide Strikers,2011/12,2012/13
BE McGain,Adelaide Strikers,2011/12,2011/12
TLW Cooper,Adelaide Strikers,2011/12,2011/12
BG Drew,Adelaide Strikers,2011/12,2011/12
DR Salpietro,Adelaide Strikers,2011/12,2011/12
JM Muirhead,Adelaide Strikers,2011/12,2011/12
JEC Franklin,Adelaide Strikers,2011/12,2011/12
PJ Hughes,Adelaide Strikers,2012/13,2013/14
NJ Reardon,Adelaide Strikers,2012/13,2013/14
TP Doropoulos,Adelaide Strikers,2012/13,2012/13
GD Putland,Adelaide Strikers,2012/13,2015/16
Saeed Ajmal,Adelaide Strikers,2012/13,2012/13
JD Smith,Adelaide Strikers,2012/13,2012/13
SW Tait,Adelaide Strikers,2012/13,2014/15
MJ Johnston,Adelaide Strikers,2012/13,2012/13
BE Young,Adelaide Strikers,2012/13,2012/13
AD Hales,Adelaide Strikers,2013/14,2013/14
BS Oakley,Adelaide Strikers,2013/14,2013/14
A Zampa,Adelaide Strikers,2013/14,2014/15
Shakib Al Hasan,Adelaide Strikers,2013/14,2013/14
JM Holland,Adelaide Strikers,2013/14,2015/16
CJ Simmons,Adelaide Strikers,2014/15,2015/16
TL Lawford,Adelaide Strikers,2014/15,2014/15
RN ten Doeschate,Adelaide Strikers,2014/15,2014/15
DPMD Jayawardene,Adelaide Strikers,2015/16,2015/16
AU Rashid,Adelaide Strikers,2015/16,2015/16
HP Kingston,Adelaide Strikers,2015/16,2015/16
GA West,Adelaide Strikers,2015/16,2015/16
JJ Peirson,Brisbane Heat,2016/17,2015/16
BB McCullum,Brisbane Heat,2016/17,2011/12
CA Lynn,Brisbane Heat,2016/17,2015/16
AI Ross,Brisbane Heat,2016/17,2018/19
BCJ Cutting,Brisbane Heat,2016/17,2015/16
JA Burns,Brisbane Heat,2016/17,2015/16
S Badree,Brisbane Heat,2016/17,2015/16
JS Floros,Brisbane Heat,2016/17,2015/16
MT Steketee,Brisbane Heat,2016/17,2015/16
MJ Swepson,Brisbane Heat,2016/17,2015/16
JD Wildermuth,Brisbane Heat,2016/17,2025/26
ND Buchanan,Brisbane Heat,2016/17,2011/12
NJ Reardon,Brisbane Heat,2016/17,2015/16
SD Heazlett,Brisbane Heat,2016/17,2015/16
TS Mills,Brisbane Heat,2016/17,2016/17
M Labuschagne,Brisbane Heat,2016/17,2025/26
Shadab Khan,Brisbane Heat,2017/18,2017/18
JK Lalor,Brisbane Heat,2017/18,2015/16
B Doggett,Brisbane Heat,2017/18,2018/19
CJ Gannon,Brisbane Heat,2017/18,2014/15
Yasir Shah,Brisbane Heat,2017/18,2017/18
MT Renshaw,Brisbane Heat,2017/18,2025/26
M Bryant,Brisbane Heat,2018/19,2025/26
JL Pattinson,Brisbane Heat,2018/19,2019/20
Mujeeb Ur Rahman,Brisbane Heat,2018/19,2021/22
JA Prestwidge,Brisbane Heat,2018/19,2019/20
MP Kuhnemann,Brisbane Heat,2018/19,2025/26
T Banton,Brisbane Heat,2019/20,2024/25
B Laughlin,Brisbane Heat,2019/20,2020/21
Zahir Khan,Brisbane Heat,2019/20,2019/20
AB de Villiers,Brisbane Heat,2019/20,2019/20
