player,country,runs,innings,average,hundreds
Don Bradman,AUS,5028,63,89.78,19
Steve Smith,AUS,3417,70,56.05,12
Allan Border,AUS,3548,73,56.31,7
Steve Waugh,AUS,3173,72,58.76,10
Matthew Hayden,AUS,2576,49,50.51,8
Ricky Ponting,AUS,2476,51,44.21,8
David Boon,AUS,2237,56,45.65,7
David Warner,AUS,2174,56,39.53,5
Jack Hobbs,ENG,3636,71,54.26,12
Joe Root,ENG,2917,67,41.1,6
David Gower,ENG,3269,77,44.78,9
Geoff Boycott,ENG,2945,71,47.5,7
Wally Hammond,ENG,2852,58,51.85,9
Herbert Sutcliffe,ENG,2741,46,66.85,8
Len Hutton,ENG,2428,49,56.47,5
Kevin Pietersen,ENG,2158,51,44.04,4
