team,season,wins
Adelaide Strikers,BBL01,3
Adelaide Strikers,BBL02,4
Adelaide Strikers,BBL03,7
Adelaide Strikers,BBL04,4
Adelaide Strikers,BBL05,5
Adelaide Strikers,BBL06,5
Adelaide Strikers,BBL07,9
Adelaide Strikers,BBL08,7
Adelaide Strikers,BBL09,4
Adelaide Strikers,BBL10,5
Adelaide Strikers,BBL11,6
Adelaide Strikers,BBL12,5
Adelaide Strikers,BBL13,4
Adelaide Strikers,BBL14,4
Brisbane Heat,BBL01,5
Brisbane Heat,BBL02,4
Brisbane Heat,BBL03,6
Brisbane Heat,BBL04,5
Brisbane Heat,BBL05,4
Brisbane Heat,BBL06,5
Brisbane Heat,BBL07,5
Brisbane Heat,BBL08,6
Brisbane Heat,BBL09,6
Brisbane Heat,BBL10,3
Brisbane Heat,BBL11,5
Brisbane Heat,BBL12,6
Brisbane Heat,BBL13,8
Brisbane Heat,BBL14,9
Hobart Hurricanes,BBL01,4
Hobart Hurricanes,BBL02,5
Hobart Hurricanes,BBL03,5
Hobart Hurricanes,BBL04,5
Hobart Hurricanes,BBL05,7
Hobart Hurricanes,BBL06,4
Hobart Hurricanes,BBL07,5
Hobart Hurricanes,BBL08,6
Hobart Hurricanes,BBL09,7
Hobart Hurricanes,BBL10,4
Hobart Hurricanes,BBL11,5
Hobart Hurricanes,BBL12,5
Hobart Hurricanes,BBL13,6
Hobart Hurricanes,BBL14,5
Melbourne Renegades,BBL01,4
Melbourne Renegades,BBL02,3
Melbourne Renegades,BBL03,5
Melbourne Renegades,BBL04,5
Melbourne Renegades,BBL05,5
Melbourne Renegades,BBL06,7
Melbourne Renegades,BBL07,6
Melbourne Renegades,BBL08,5
Melbourne Renegades,BBL09,9
Melbourne Renegades,BBL10,3
Melbourne Renegades,BBL11,4
Melbourne Renegades,BBL12,5
Melbourne Renegades,BBL13,4
Melbourne Renegades,BBL14,5
Melbourne Stars,BBL01,6
Melbourne Stars,BBL02,7
Melbourne Stars,BBL03,6
Melbourne Stars,BBL04,7
Melbourne Stars,BBL05,4
Melbourne Stars,BBL06,6
Melbourne Stars,BBL07,5
Melbourne Stars,BBL08,7
Melbourne Stars,BBL09,5
Melbourne Stars,BBL10,4
Melbourne Stars,BBL11,4
Melbourne Stars,BBL12,3
Melbourne Stars,BBL13,4
Melbourne Stars,BBL14,4
Perth Scorchers,BBL01,6
Perth Scorchers,BBL02,5
Perth Scorchers,BBL03,7
Perth Scorchers,BBL04,7
Perth Scorchers,BBL05,7
Perth Scorchers,BBL06,7
Perth Scorchers,BBL07,7
Perth Scorchers,BBL08,6
Perth Scorchers,BBL09,4
Perth Scorchers,BBL10,6
Perth Scorchers,BBL11,9
Perth Scorchers,BBL12,8
Perth Scorchers,BBL13,7
Perth Scorchers,BBL14,6
Sydney Sixers,BBL01,7
Sydney Sixers,BBL02,4
Sydney Sixers,BBL03,4
Sydney Sixers,BBL04,5
Sydney Sixers,BBL05,5
Sydney Sixers,BBL06,3
Sydney Sixers,BBL07,5
Sydney Sixers,BBL08,7
Sydney Sixers,BBL09,8
Sydney Sixers,BBL10,8
Sydney Sixers,BBL11,7
Sydney Sixers,BBL12,7
Sydney Sixers,BBL13,5
Sydney Sixers,BBL14,7
Sydney Thunder,BBL01,1
Sydney Thunder,BBL02,3
Sydney Thunder,BBL03,2
Sydney Thunder,BBL04,6
Sydney Thunder,BBL05,4
Sydney Thunder,BBL06,5
Sydney Thunder,BBL07,5
Sydney Thunder,BBL08,4
Sydney Thunder,BBL09,5
Sydney Thunder,BBL10,5
Sydney Thunder,BBL11,7
Sydney Thunder,BBL12,5
Sydney Thunder,BBL13,6
Sydney Thunder,BBL14,5
