country,iso_num,lat,lon,win_1970,win_1980,win_1990,win_2000,win_2010,win_2020,m_1970,m_1980,m_1990,m_2000,m_2010,m_2020
England,826,52.5,-1.5,40.0,46.7,61.2,70.9,56.7,62.2,45,60,85,110,120,45
India,356,22.0,79.0,48.0,55.0,58.2,55.0,44.2,45.7,25,40,55,80,95,35
Pakistan,586,30.0,70.0,50.0,51.4,64.0,69.1,65.0,65.0,20,35,50,55,40,20
New Zealand,554,-41.0,174.0,65.0,62.9,61.8,64.3,62.5,60.0,20,35,55,70,80,30
South Africa,710,-29.0,24.0,,,53.3,60.0,56.0,60.0,,,30,60,75,25
West Indies,388,18.0,-77.0,40.0,35.0,64.0,72.7,70.0,65.0,30,40,50,55,60,20
Sri Lanka,144,7.5,80.7,,66.7,54.3,66.7,62.2,66.7,,15,35,45,45,15
Bangladesh,50,23.7,90.4,,,100.0,90.0,86.7,100.0,,,2,10,15,5
Zimbabwe,716,-19.0,29.8,,,87.5,90.0,100.0,,,,8,10,5,
Ireland,372,53.4,-8.0,,,,100.0,100.0,100.0,,,,2,3,2
Afghanistan,4,33.9,67.7,,,,,100.0,100.0,,,,,1,3
Netherlands,528,52.1,5.3,,,,100.0,100.0,100.0,,,,1,2,2
