year,tournament,winner,host,result
1975,ODI World Cup,West Indies,England,Beat AUS in final
1979,ODI World Cup,West Indies,England,AUS did not qualify
1983,ODI World Cup,India,England,AUS group stage
1987,ODI World Cup,Australia,India/Pakistan,Beat ENG by 7 runs
1992,ODI World Cup,Pakistan,Australia/NZ,AUS group stage
1996,ODI World Cup,Sri Lanka,India/Pak/SL,AUS lost in final
1999,ODI World Cup,Australia,England,Beat PAK by 8 wickets
2003,ODI World Cup,Australia,South Africa,Beat IND by 125 runs
2006,Champions Trophy,Australia,India,Beat WI by 8 wickets
2007,ODI World Cup,Australia,West Indies,Beat SL (D/L method)
2009,Champions Trophy,Australia,South Africa,Beat NZ by 6 wickets
2011,ODI World Cup,India,India/SL/BD,AUS lost QF
2013,Champions Trophy,India,England,AUS group stage
2015,ODI World Cup,Australia,Australia/NZ,Beat NZ by 7 wickets
2017,Champions Trophy,Pakistan,England,AUS group stage
2019,ODI World Cup,England,England,AUS lost semi-final
2021,T20 World Cup,Australia,UAE,Beat NZ by 8 wickets
2022,T20 World Cup,England,Australia,AUS group stage
2023,WTC Final,Australia,England,Beat IND by 209 runs
2023,ODI World Cup,Australia,India,Beat IND by 6 wickets
2024,T20 World Cup,India,USA/WI,AUS Super 8
2025,Champions Trophy,India,Pakistan,AUS lost semi-final
