year,team,rank,rating
2003,Australia,1,134
2003,South Africa,2,113
2003,India,3,105
2003,England,4,100
2004,Australia,1,140
2004,India,2,114
2004,South Africa,3,108
2004,England,4,103
2005,Australia,1,135
2005,England,2,116
2005,India,3,110
2005,South Africa,4,105
2006,Australia,1,140
2006,South Africa,2,118
2006,England,3,108
2006,India,4,106
2007,Australia,1,141
2007,India,2,118
2007,South Africa,3,114
2007,England,4,106
2008,Australia,1,127
2008,South Africa,2,123
2008,India,3,118
2008,England,4,108
2009,South Africa,1,122
2009,Australia,2,118
2009,India,3,117
2009,England,4,109
2010,India,1,125
2010,South Africa,2,118
2010,Australia,3,113
2010,England,4,112
2011,England,1,125
2011,India,2,120
2011,South Africa,3,118
2011,Australia,4,108
2012,South Africa,1,127
2012,England,2,117
2012,Australia,3,113
2012,India,4,109
2013,South Africa,1,131
2013,Australia,2,114
2013,England,3,113
2013,India,4,107
2014,South Africa,1,124
2014,Australia,2,118
2014,Pakistan,3,108
2014,India,4,105
2015,Australia,1,118
2015,India,2,115
2015,South Africa,3,113
2015,Pakistan,4,108
2016,India,1,120
2016,Australia,2,108
2016,Pakistan,3,107
2016,England,4,105
2017,India,1,124
2017,South Africa,2,109
2017,Australia,3,103
2017,England,4,98
2018,India,1,116
2018,South Africa,2,113
2018,New Zealand,3,108
2018,Australia,4,106
2019,India,1,120
2019,New Zealand,2,111
2019,Australia,3,108
2019,England,4,105
2020,Australia,1,116
2020,New Zealand,2,114
2020,India,3,114
2020,England,4,106
2021,New Zealand,1,123
2021,India,2,121
2021,Australia,3,108
2021,England,4,106
2022,Australia,1,128
2022,South Africa,2,116
2022,India,3,115
2022,England,4,108
2023,Australia,1,124
2023,India,2,121
2023,South Africa,3,107
2023,England,4,105
2024,India,1,120
2024,Australia,2,118
2024,New Zealand,3,108
2024,England,4,105
2025,Australia,1,126
2025,India,2,121
2025,England,3,107
2025,South Africa,4,106
