player,team,format,total_runs,balls_faced,matches,strike_rate
V Kohli,India,ODI,14675,15958,296,91.96
JE Root,England,Test,13943,24286,163,57.41
AN Cook,England,Test,12472,26618,161,46.86
KC Sangakkara,Sri Lanka,ODI,11530,14507,280,79.48
RG Sharma,India,ODI,11357,12532,270,90.62
SPD Smith,Australia,Test,10763,20031,122,53.73
MS Dhoni,India,ODI,10100,11948,276,84.53
KS Williamson,New Zealand,Test,9461,18236,108,51.88
AB de Villiers,South Africa,ODI,9324,9388,209,99.32
V Kohli,India,Test,9230,16655,121,55.42
TM Dilshan,Sri Lanka,ODI,9212,10777,259,85.48
HM Amla,South Africa,Test,9146,18274,121,50.05
DA Warner,Australia,Test,8786,12544,112,70.04
KC Sangakkara,Sri Lanka,Test,8489,15666,84,54.19
AB de Villiers,South Africa,Test,8182,14971,105,54.65
MJ Clarke,Australia,Test,8146,14605,107,55.78
LRPL Taylor,New Zealand,ODI,8126,10040,209,80.94
KP Pietersen,England,Test,8079,13130,100,61.53
AD Mathews,Sri Lanka,Test,8073,16743,116,48.22
DPMD Jayawardene,Sri Lanka,ODI,7852,10052,260,78.11
HM Amla,South Africa,ODI,7834,9058,174,86.49
Tamim Iqbal,Bangladesh,ODI,7648,9979,215,76.64
LRPL Taylor,New Zealand,Test,7597,12869,109,59.03
GC Smith,South Africa,Test,7572,12485,93,60.65
IR Bell,England,Test,7416,15021,114,49.37
JE Root,England,ODI,7329,8536,174,85.86
JH Kallis,South Africa,Test,7322,14732,88,49.7
BA Stokes,England,Test,7216,12390,119,58.24
CA Pujara,India,Test,7160,16191,100,44.22
KS Williamson,New Zealand,ODI,7145,8864,165,80.61
Azhar Ali,Pakistan,Test,7142,17063,97,41.86
Younis Khan,Pakistan,Test,7135,13800,80,51.7
MJ Guptill,New Zealand,ODI,7125,8358,190,85.25
FDM Karunaratne,Sri Lanka,Test,7113,13955,99,50.97
Mushfiqur Rahim,Bangladesh,ODI,7096,8993,227,78.91
Q de Kock,South Africa,ODI,7014,7390,159,94.91
MJ Clarke,Australia,ODI,6988,9095,198,76.83
RT Ponting,Australia,ODI,6979,8658,189,80.61
Yuvraj Singh,India,ODI,6840,8022,206,85.27
EJG Morgan,England,ODI,6765,7465,204,90.62
RT Ponting,Australia,Test,6733,11494,89,58.58
S Dhawan,India,ODI,6733,7524,163,89.49
Shakib Al Hasan,Bangladesh,ODI,6638,8133,200,81.62
DA Warner,Australia,ODI,6623,6974,154,94.97
DPMD Jayawardene,Sri Lanka,Test,6615,12924,78,51.18
WU Tharanga,Sri Lanka,ODI,6472,8823,205,73.35
SR Tendulkar,India,ODI,6433,7616,144,84.47
SR Tendulkar,India,Test,6416,11899,82,53.92
CH Gayle,West Indies,ODI,6379,7384,196,86.39
Mohammad Hafeez,Pakistan,ODI,6351,8347,202,76.09
TWM Latham,New Zealand,Test,6261,13092,91,47.82
LD Chandimal,Sri Lanka,Test,6254,12543,89,49.86
UT Khawaja,Australia,Test,6229,12785,87,48.72
Mushfiqur Rahim,Bangladesh,Test,6226,12804,95,48.63
Babar Azam,Pakistan,ODI,6203,7243,131,85.64
JM Bairstow,England,Test,6042,10246,99,58.97
S Chanderpaul,West Indies,Test,5995,13587,75,44.12
Shoaib Malik,Pakistan,ODI,5981,7309,206,81.83
KC Brathwaite,West Indies,Test,5931,14547,99,40.77
R Dravid,India,Test,5902,13682,79,43.14
V Sehwag,India,Test,5886,6963,75,84.53
MEK Hussey,Australia,Test,5779,11737,75,49.24
BB McCullum,New Zealand,Test,5778,8826,89,65.47
SPD Smith,Australia,ODI,5668,6653,151,85.19
SD Hope,West Indies,ODI,5666,7078,135,80.05
AD Mathews,Sri Lanka,ODI,5646,6934,184,81.42
AJ Strauss,England,Test,5605,11707,88,47.88
SK Raina,India,ODI,5585,6147,190,90.86
V Sehwag,India,ODI,5574,5466,158,101.98
JC Buttler,England,ODI,5473,4839,168,113.1
F du Plessis,South Africa,ODI,5445,6288,135,86.59
VVS Laxman,India,Test,5411,10968,76,49.33
SR Watson,Australia,ODI,5357,5949,150,90.05
D Elgar,South Africa,Test,5347,11236,85,47.59
IR Bell,England,ODI,5289,6997,152,75.59
GC Smith,South Africa,ODI,5280,6607,151,79.92
AJ Finch,Australia,ODI,5188,6135,139,84.56
BB McCullum,New Zealand,ODI,5157,5457,186,94.5
BRM Taylor,Zimbabwe,ODI,5150,6970,162,73.89
Mahmudullah,Bangladesh,ODI,5131,6811,189,75.33
Misbah-ul-Haq,Pakistan,Test,5102,11375,69,44.85
MEK Hussey,Australia,ODI,5076,6012,148,84.43
AM Rahane,India,Test,5067,10234,82,49.51
Tamim Iqbal,Bangladesh,Test,5019,8596,68,58.39
G Gambhir,India,ODI,4981,5933,134,83.95
JP Duminy,South Africa,ODI,4928,5986,173,82.33
JH Kallis,South Africa,ODI,4908,6478,128,75.76
Younis Khan,Pakistan,ODI,4777,6411,168,74.51
