match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1249875,Test,2021,2021/06/18,ICC World Test Championship,,India,New Zealand,New Zealand,8 wickets,"The Rose Bowl, Southampton",Southampton
1358412,Test,2023,2023/06/07,ICC World Test Championship,,Australia,India,Australia,209 runs,"Kennington Oval, London",London
1449769,Test,2025,2025/06/11,ICC World Test Championship,,Australia,South Africa,South Africa,5 wickets,"Lord's, London",London
221840,Test,2005/06,2005/10/14,ICC World XI tour of Australia,,Australia,ICC World XI,Australia,210 runs,Sydney Cricket Ground,Sydney
1022347,ODI,2017,2017/06/01,ICC Champions Trophy,1,England,Bangladesh,England,8 wickets,Kennington Oval,London
1022349,ODI,2017,2017/06/02,ICC Champions Trophy,2,Australia,New Zealand,no result,,Edgbaston,Birmingham
1022351,ODI,2017,2017/06/03,ICC Champions Trophy,3,South Africa,Sri Lanka,South Africa,96 runs,Kennington Oval,London
1022353,ODI,2017,2017/06/04,ICC Champions Trophy,4,India,Pakistan,India,124 runs,Edgbaston,Birmingham
1022355,ODI,2017,2017/06/05,ICC Champions Trophy,5,Australia,Bangladesh,no result,,Kennington Oval,London
1022357,ODI,2017,2017/06/06,ICC Champions Trophy,6,England,New Zealand,England,87 runs,Sophia Gardens,Cardiff
1022359,ODI,2017,2017/06/07,ICC Champions Trophy,7,Pakistan,South Africa,Pakistan,19 runs,Edgbaston,Birmingham
1022361,ODI,2017,2017/06/08,ICC Champions Trophy,8,India,Sri Lanka,Sri Lanka,7 wickets,Kennington Oval,London
1022363,ODI,2017,2017/06/09,ICC Champions Trophy,9,Bangladesh,New Zealand,Bangladesh,5 wickets,Sophia Gardens,Cardiff
1022365,ODI,2017,2017/06/10,ICC Champions Trophy,10,England,Australia,England,40 runs,Edgbaston,Birmingham
1022367,ODI,2017,2017/06/11,ICC Champions Trophy,11,India,South Africa,India,8 wickets,Kennington Oval,London
1022369,ODI,2017,2017/06/12,ICC Champions Trophy,12,Pakistan,Sri Lanka,Pakistan,3 wickets,Sophia Gardens,Cardiff
1022371,ODI,2017,2017/06/14,ICC Champions Trophy,,England,Pakistan,Pakistan,8 wickets,Sophia Gardens,Cardiff
1022373,ODI,2017,2017/06/15,ICC Champions Trophy,,Bangladesh,India,India,9 wickets,Edgbaston,Birmingham
1022375,ODI,2017,2017/06/18,ICC Champions Trophy,,India,Pakistan,Pakistan,180 runs,Kennington Oval,London
1068737,ODI,2017,2017/04/02,ICC World Cricket League Championship,38,United Arab Emirates,Papua New Guinea,Papua New Guinea,26 runs,Sheikh Zayed Stadium,Abu Dhabi
1124089,ODI,2017/18,2017/12/06,ICC World Cricket League Championship,49,Hong Kong,Papua New Guinea,Hong Kong,23 runs,ICC Academy,Dubai
