venue,city
AMI Stadium,Christchurch
Adelaide Oval,
Affies Park,Windhoek
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
"Amini Park, Port Moresby",Port Moresby
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam
Antigua Recreation Ground,St John's
"Antigua Recreation Ground, St John's",Antigua
"Antigua Recreation Ground, St John's, Antigua",St John's
Arbab Niaz Stadium,Peshawar
Arnos Vale Ground,Kingstown
"Arnos Vale Ground, Kingstown",St Vincent
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown
Arun Jaitley Stadium,Delhi
"Arun Jaitley Stadium, Delhi",Delhi
Asgiriya Stadium,Kandy
Bangabandhu National Stadium,Dhaka
"Bangabandhu National Stadium, Dhaka",Dhaka
Barabati Stadium,Cuttack
"Barabati Stadium, Cuttack",Cuttack
Barsapara Cricket Stadium,Guwahati
"Barsapara Cricket Stadium, Guwahati",Guwahati
Basin Reserve,Wellington
"Basin Reserve, Wellington",Wellington
Bay Oval,Mount Maunganui
"Bay Oval, Mount Maunganui",Mount Maunganui
"Beausejour Stadium, Gros Islet",St Lucia
Bellerive Oval,Hobart
"Bellerive Oval, Hobart",Hobart
Bert Sutcliffe Oval,Lincoln
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram
"Boland Bank Park, Paarl",Paarl
Boland Park,Paarl
"Boland Park, Paarl",Paarl
Brabourne Stadium,Mumbai
"Bready Cricket Club, Magheramason",Bready
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba
Brisbane Cricket Ground,Brisbane
"Brisbane Cricket Ground, Woolloongabba",Brisbane
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
Buffalo Park,East London
"Buffalo Park, East London",East London
Bulawayo Athletic Club,
"Bundaberg Rum Stadium, Cairns",Cairns
Cambusdoon New Ground,Ayr
"Cambusdoon New Ground, Ayr",Ayr
Captain Roop Singh Stadium,Gwalior
"Captain Roop Singh Stadium, Gwalior",Gwalior
Carisbrook,Dunedin
Castle Avenue,Dublin
"Castle Avenue, Dublin",Dublin
"Cazaly's Stadium, Cairns",Cairns
Central Broward Regional Park Stadium Turf Ground,Lauderhill
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill
Chevrolet Park,Bloemfontein
Chittagong Divisional Stadium,
"Choice Moosa Stadium, Pearland",Pearland
"City Oval, Pietermaritzburg",Pietermaritzburg
"Civil Service Cricket Club, Stormont",Belfast
"Civil Service Cricket Club, Stormont, Belfast",Belfast
Clontarf Cricket Club Ground,Dublin
"Clontarf Cricket Club Ground, Dublin",Dublin
Cobham Oval (New),Whangarei
County Ground,Bristol
"County Ground, Bristol",Bristol
"County Ground, Chelmsford",Chelmsford
Daren Sammy National Cricket Stadium,Gros Islet
"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet
"Daren Sammy National Cricket Stadium, St Lucia",Gros Islet
"Darren Sammy National Cricket Stadium, Gros Islet",St Lucia
"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet
"Davies Park, Queenstown",Queenstown
De Beers Diamond Oval,Kimberley
"De Beers Diamond Oval, Kimberley",Kimberley
Diamond Oval,Kimberley
"Diamond Oval, Kimberley",Kimberley
Docklands Stadium,Melbourne
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
